id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
6102,11394,Bruckneudorf,48.01278,16.845,165.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,18,2008-01-01 00:00:00+00:00,,nein
6111,11046,Bad Deutsch-Altenburg,48.13647,16.90675,168.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
6300,11150,Salzburg Flughafen,47.78944,13.00861,430.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,131,1939-03-01 00:00:00+00:00,,nein
6305,11350,Salzburg Freisaal,47.79111,13.05417,419.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,145,2006-01-01 00:00:00+00:00,,nein
6411,11152,Mattsee,47.97,13.1,504.0,1993-06-04 07:10:00+00:00,1998-10-31 23:50:00+00:00,Salzburg,True,False,,60,1985-12-01 00:00:00+00:00,1998-10-31 23:59:59+00:00,nein
6412,11152,Mattsee,47.97778,13.10694,508.0,1998-11-01 00:00:00+00:00,1999-01-25 12:00:00+00:00,Salzburg,True,False,,60,1998-11-01 00:00:00+00:00,1999-01-31 23:59:59+00:00,nein
6415,11152,Mattsee,47.97722,13.10556,502.0,1999-07-27 09:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,60,1999-11-01 00:00:00+00:00,,nein
6430,11373,Kolomansberg,47.87772,13.27519,1113.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
6501,11352,Frankenmarkt,47.99139,13.42306,565.0,2016-12-14 00:10:00+00:00,2017-03-27 23:50:00+00:00,Oberösterreich,False,True,,190,2004-03-01 00:00:00+00:00,2017-03-25 23:59:59+00:00,nein
6512,11153,Mondsee,47.85083,13.34722,480.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,163,2009-01-01 00:00:00+00:00,,nein
6540,11087,Unterach am Attersee,47.802776,13.483611,470.0,2019-05-27 15:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
6611,11155,Feuerkogel,47.81667,13.71778,1618.0,1992-12-22 09:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,205,2009-01-01 00:00:00+00:00,,nein
6620,11154,Gmunden,47.91472,13.8075,424.4,1992-08-29 00:10:00+00:00,2016-04-27 00:00:00+00:00,Oberösterreich,True,True,,29,1982-08-13 00:00:00+00:00,2016-04-26 23:59:59+00:00,nein
6621,11254,Altmünster,47.87917,13.77333,438.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
6803,11347,Micheldorf,47.88306,14.13444,459.3,2006-01-01 00:00:00+00:00,2022-09-12 16:50:00+00:00,Oberösterreich,True,True,,144,2008-08-01 00:00:00+00:00,2022-09-12 16:59:59+00:00,nein
6804,11347,Micheldorf,47.88388,14.117222,446.0,2022-09-12 17:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,144,2022-09-13 00:00:00+00:00,,nein
7002,11341,Weyer,47.85719,14.66572,426.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,104,2007-09-01 00:00:00+00:00,,nein
7012,11368,Waidhofen an der Ybbs/Zentrum,47.95778,14.78444,365.1,2001-01-24 12:20:00+00:00,2019-06-04 09:00:00+00:00,Niederösterreich,True,True,,101,2004-12-01 00:00:00+00:00,2017-12-31 23:59:59+00:00,nein
7013,11071,Waidhofen/Ybbs,47.94556,14.80972,384.0,2017-03-30 08:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,101,2018-01-01 00:00:00+00:00,,nein
7110,11170,Lunz am See,47.85436,15.06758,611.9,1994-09-08 09:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
7221,11171,Mariazell/St. Sebastian,47.78917,15.30222,864.0,2000-07-25 09:20:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,59,2001-01-01 00:00:00+00:00,,nein
7301,8989084,Kernhof - St. Aegyd am Neuwalde,47.819333,15.547972,677.6,2022-05-07 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7305,11386,Krumbach,47.52806,16.18667,545.2,2014-09-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7500,11382,Puchberg am Schneeberg,47.79028,15.90944,580.0,1992-08-29 00:10:00+00:00,1998-03-18 09:00:00+00:00,Niederösterreich,True,True,,72,1983-01-01 00:00:00+00:00,1998-03-31 23:59:59+00:00,nein
7505,11382,Puchberg am Schneeberg,47.79028,15.90694,582.8,1998-03-23 20:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,72,1998-04-01 00:00:00+00:00,,nein
7531,11385,Hohe Wand / Hochkogelhaus,47.82222,16.035,936.9,1993-05-14 10:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,36,1993-08-01 00:00:00+00:00,,nein
7604,11182,Wiener Neustadt Flugplatz,47.83233,16.23147,275.0,1992-10-20 09:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,112,1993-02-01 00:00:00+00:00,,nein
7610,11378,Gutenstein Mariahilfberg,47.87139,15.87611,708.9,1996-09-04 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7641,11079,Berndorf,47.93917,16.10111,337.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,164,2008-01-01 00:00:00+00:00,,nein
7653,8989081,Bad Vöslau,47.961111,16.209444,266.0,2021-09-30 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7704,11190,Eisenstadt,47.85417,16.53833,184.0,1993-08-04 14:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,22,1989-01-01 00:00:00+00:00,,nein
7710,11387,Seibersdorf,47.9765,16.50489,185.0,2002-08-27 13:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,197,1982-06-21 00:00:00+00:00,,nein
7714,8989114,Hornstein,47.877606,16.452103,312.0,2024-03-06 08:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
7890,11072,Neusiedl am See,47.94917,16.82889,117.0,2017-01-20 00:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,65,2017-01-20 00:00:00+00:00,,nein
7905,11194,Neusiedl am See,47.9425,16.85778,135.0,1992-11-05 14:30:00+00:00,2004-08-01 00:00:00+00:00,Burgenland,True,True,,65,1984-08-01 00:00:00+00:00,2004-07-31 23:59:59+00:00,nein
7906,11194,Neusiedl am See,47.95083,16.84167,147.5,2004-08-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,65,2004-08-01 00:00:00+00:00,2017-01-19 23:59:59+00:00,nein
7912,11084,Podersdorf,47.86611,16.83444,116.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
7955,8989072,Andau,47.7725,17.03333,117.5,1995-08-02 11:20:00+00:00,2022-06-20 06:50:00+00:00,Burgenland,True,True,,218,1995-08-01 00:00:00+00:00,2021-06-30 23:59:59+00:00,nein
7956,11395,Andau,47.77,17.03556,117.0,2021-06-16 13:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,218,2021-07-01 00:00:00+00:00,,nein
8301,11100,Sulzberg,47.52194,9.91416,1014.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
8805,11328,Achenkirch,47.53222,11.70528,904.0,1998-09-23 11:10:00+00:00,2016-10-05 00:00:00+00:00,Tirol,True,True,,151,1998-07-01 00:00:00+00:00,2016-10-31 23:59:59+00:00,nein
8806,11266,Achenkirch,47.49944,11.70667,931.0,2016-10-05 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,151,2016-11-01 00:00:00+00:00,,nein
9016,11130,Kufstein,47.57528,12.16278,490.0,1994-05-25 06:50:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,142,2003-01-01 00:00:00+00:00,,nein
9019,11069,Söll,47.50306,12.20028,697.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,214,2015-07-01 00:00:00+00:00,,nein
9105,11327,Kirchdorf in Tirol,47.56611,12.46306,636.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
9110,11131,Kössen,47.66289,12.39381,588.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
9211,11140,Lofer Ort,47.58444,12.69528,622.0,1999-04-07 09:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,129,2000-11-01 00:00:00+00:00,,nein
9215,11337,Loferer Alm,47.59778,12.64611,1619.0,1995-02-24 13:30:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
9406,11371,Golling,47.59114,13.18178,489.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
9501,11369,Abtenau,47.56667,13.34333,709.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,165,2008-06-25 00:00:00+00:00,,nein
9511,11357,St. Wolfgang,47.73694,13.45,541.0,1992-08-29 00:10:00+00:00,2013-10-01 00:00:00+00:00,Oberösterreich,True,False,,109,1990-02-01 00:00:00+00:00,2013-09-30 23:59:59+00:00,nein
9512,11357,St. Wolfgang,47.74028,13.44194,544.0,2013-10-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,109,2013-10-01 00:00:00+00:00,,nein
9605,11354,Bad Goisern,47.63333,13.61667,510.0,1995-02-21 11:10:00+00:00,1997-12-21 23:50:00+00:00,Oberösterreich,True,True,,9,1995-01-01 00:00:00+00:00,1997-12-31 23:59:59+00:00,nein
9606,11354,Bad Goisern,47.64256,13.61803,502.1,1997-12-22 00:00:00+00:00,2016-02-09 00:00:00+00:00,Oberösterreich,True,True,,9,1998-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00,nein
9609,11256,Bad Goisern,47.62194,13.64472,538.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,9,2015-01-01 00:00:00+00:00,,nein
9618,11361,Bad Ischl,47.70619,13.64714,506.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,132,2007-07-01 00:00:00+00:00,,nein
9640,11356,Bad Aussee,47.61111,13.78278,667.0,1992-08-29 00:10:00+00:00,2013-01-24 00:00:00+00:00,Steiermark,True,False,,5,1983-09-01 00:00:00+00:00,2013-01-31 23:59:59+00:00,nein
9643,11356,Bad Aussee,47.6105,13.75844,743.1,2013-02-18 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,False,,5,2013-02-01 00:00:00+00:00,,nein
9700,11358,Bad Mitterndorf,47.55333,13.93472,814.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,10,1983-11-01 00:00:00+00:00,,nein
9801,11157,Aigen im Ennstal,47.53278,14.13826,641.0,1992-11-13 13:40:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,2,1993-02-01 00:00:00+00:00,,nein
9811,11360,Irdning-Gumpenstein,47.49506,14.09967,697.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,40,1993-02-01 00:00:00+00:00,,nein
9911,11167,Hall - Admont,47.59444,14.49083,637.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,166,2008-01-01 00:00:00+00:00,,nein
9919,11355,Windischgarsten,47.72028,14.32611,599.9,1992-10-29 16:40:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,108,1983-10-07 00:00:00+00:00,,nein
9925,11063,Rottenmann,47.50767,14.43028,707.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
10005,11199,Mooslandl,47.64753,14.76167,529.9,2005-09-15 18:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
10111,11161,Präbichl,47.52158,14.95416,1215.2,2000-09-26 09:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,153,2000-09-13 00:00:00+00:00,,nein
10200,11375,Aflenz,47.54594,15.24069,783.2,1992-10-08 12:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,1,1983-05-01 00:00:00+00:00,,nein
10401,11177,Mürzzuschlag,47.60222,15.67278,705.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,167,2009-01-01 00:00:00+00:00,,nein
10412,11180,Rax / Seilbahnbergstation,47.7175,15.77861,1547.2,1994-10-20 13:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
10415,11383,Semmering,47.63325,15.82839,987.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,88,1998-11-01 00:00:00+00:00,,nein
10500,11185,Mönichkirchen,47.51111,16.03333,991.0,1992-11-11 10:50:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,63,1983-07-01 00:00:00+00:00,,nein
10510,11380,Reichenau an der Rax,47.69972,15.83694,488.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,80,1983-01-01 00:00:00+00:00,,nein
10531,11381,Pottschach,47.70083,16.00806,416.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,169,2008-01-01 00:00:00+00:00,,nein
10550,11384,Hirschenkogel,47.62333,15.83333,1318.1,1994-06-13 14:30:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
10607,11188,Aspang,47.575,16.10139,454.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,170,2008-01-01 00:00:00+00:00,,nein
10710,11189,Mattersburg,47.745,16.38917,283.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,nein
10720,11258,Neudorf /Landsee,47.56278,16.38139,429.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,nein
11104,11101,Bregenz,47.49917,9.74611,424.0,1993-06-15 17:40:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,15,2008-01-01 00:00:00+00:00,,nein
11106,11104,Fraxern,47.31417,9.67444,807.0,2003-07-16 13:10:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,133,2004-01-01 00:00:00+00:00,,nein
11112,11302,Dornbirn,47.4325,9.72556,407.3,1993-06-16 11:30:00+00:00,2022-09-01 06:00:00+00:00,Vorarlberg,True,True,,171,1992-04-01 00:00:00+00:00,2022-08-31 23:59:59+00:00,nein
11114,11302,Dornbirn,47.4325,9.72556,407.3,2022-09-01 06:10:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,171,2022-09-01 00:00:00+00:00,,nein
11115,11105,Feldkirch,47.27111,9.60972,438.4,1994-04-18 09:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,24,1995-01-01 00:00:00+00:00,,nein
11116,11251,Laterns-Gapfohl,47.27503,9.75992,1558.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,False,,,,,nein
11135,11301,Alberschwende,47.4575,9.84861,715.3,1996-01-16 19:30:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
11146,11299,Rohrspitz,47.49722,9.63,395.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
11203,11303,Schoppernau,47.31139,10.01778,839.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,172,2008-01-01 00:00:00+00:00,,nein
11301,11306,Schröcken,47.26167,10.08611,1244.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,173,2007-12-01 00:00:00+00:00,,nein
11305,11308,Warth,47.25583,10.18611,1478.0,1993-06-15 17:50:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
11311,11187,Mittelberg,47.32333,10.1525,1204.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,174,2009-06-01 00:00:00+00:00,,nein
11402,11315,Holzgau,47.25758,10.33867,1092.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,146,2008-01-01 00:00:00+00:00,,nein
11410,11111,Tannheim,47.50028,10.50583,1100.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
11505,11314,Reutte,47.49444,10.71528,841.8,1994-12-06 10:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,76,1994-08-01 00:00:00+00:00,,nein
11603,11118,Ehrwald,47.40417,10.92,982.0,2005-12-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,20,2008-01-01 00:00:00+00:00,,nein
11706,11119,Seefeld,47.32478,11.17542,1181.9,1997-06-11 12:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,87,1997-06-01 00:00:00+00:00,,nein
11803,11320,Innsbruck Universität,47.25986,11.38425,578.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,39,1987-01-01 00:00:00+00:00,,nein
11804,11121,Innsbruck Flughafen,47.25999,11.35667,578.0,1992-11-24 13:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,175,2008-01-01 00:00:00+00:00,,nein
11901,11325,Jenbach,47.38878,11.75814,530.0,1995-01-19 07:40:00+00:00,2021-10-22 08:30:00+00:00,Tirol,True,True,,42,1994-07-01 00:00:00+00:00,2021-10-22 23:59:59+00:00,nein
12015,11125,Alpbach,47.39694,11.94028,929.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
12202,11336,Kitzbühel,47.44722,12.39417,746.1,2006-01-01 00:00:00+00:00,2014-03-25 00:00:00+00:00,Tirol,True,True,,118,2007-02-01 00:00:00+00:00,2014-03-21 23:59:59+00:00,nein
12203,11279,Kitzbühel,47.44389,12.38917,772.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,118,2014-11-18 00:00:00+00:00,,nein
12215,11135,Hahnenkamm - Ehrenbachhöhe,47.41831,12.35928,1793.8,1993-02-17 09:30:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,176,1992-11-13 00:00:00+00:00,,nein
12216,8989044,Hahnenkamm-Sonnenrast,47.409168,12.359445,1667.0,2019-09-16 11:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
12231,11073,Mittersill,47.279167,12.495833,783.0,2017-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
12302,11366,Saalbach,47.38789,12.64844,974.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,83,2009-01-01 00:00:00+00:00,,nein
12311,11340,Schmittenhöhe,47.32872,12.73794,1955.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,85,1983-10-01 00:00:00+00:00,,nein
12322,11144,Zell am See,47.32667,12.79528,770.0,1992-08-29 00:10:00+00:00,2019-07-15 05:20:00+00:00,Salzburg,True,False,,113,1984-07-13 00:00:00+00:00,2019-07-15 23:59:59+00:00,nein
12323,11144,Zell am See,47.29,12.78639,754.0,2019-07-16 06:40:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,False,,113,2019-07-16 00:00:00+00:00,,nein
12351,11339,Hochfilzen,47.47028,12.62111,961.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,178,2007-11-27 00:00:00+00:00,,nein
12504,11141,Bischofshofen,47.40667,13.22111,549.9,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,14,1996-09-01 00:00:00+00:00,,nein
12513,11345,St. Veit im Pongau,47.32917,13.155,749.0,2004-11-17 10:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
12530,11364,St. Johann im Pongau,47.31981,13.18672,634.2,2016-12-14 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,False,False,,156,2008-03-01 00:00:00+00:00,,nein
12615,11147,Radstadt,47.38528,13.45611,858.0,1994-12-05 12:30:00+00:00,2017-11-09 08:10:00+00:00,Salzburg,True,True,,73,1995-01-01 00:00:00+00:00,2016-08-31 23:59:59+00:00,nein
12616,11208,Radstadt-Tandalier,47.38,13.44083,835.0,2016-08-08 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,73,2016-09-01 00:00:00+00:00,,nein
12711,11351,Ramsau am Dachstein,47.42514,13.63428,1206.8,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,179,1991-01-01 00:00:00+00:00,,nein
12720,11267,Dachstein - Hunerkogel,47.46778,13.62639,2700.0,2017-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
12721,11268,Dachstein-Schladminger Gletscher,47.474445,13.6325,2520.0,2017-11-13 14:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
12811,11359,Gröbming,47.44678,13.90422,765.5,2001-10-03 11:40:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,147,2001-10-01 00:00:00+00:00,,nein
13116,11166,Seckau,47.27083,14.77861,872.0,2001-11-08 16:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,124,2002-02-01 00:00:00+00:00,,nein
13120,11362,Kalwang,47.42126,14.75961,743.6,1994-05-17 14:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,44,1994-04-01 00:00:00+00:00,,nein
13250,11174,St.Michael bei Leoben,47.335556,15.005,570.0,1992-08-29 00:10:00+00:00,2013-05-15 00:00:00+00:00,Steiermark,True,True,,,,,nein
13302,11175,Bruck/Mur,47.40556,15.24972,482.0,2004-10-28 13:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,17,2005-01-01 00:00:00+00:00,,nein
13305,11370,Kapfenberg,47.44592,15.29828,504.7,1997-02-17 12:40:00+00:00,2018-05-23 04:50:00+00:00,Steiermark,True,True,,217,1997-03-01 00:00:00+00:00,2018-05-22 23:59:59+00:00,nein
13308,11249,Frohnleiten,47.25556,15.315,421.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13312,11274,Leoben,47.37833,15.08667,544.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13401,11176,Kapfenberg-Flugfeld,47.45833,15.33556,515.0,2018-05-23 14:50:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,217,2018-05-23 00:00:00+00:00,,nein
13515,11173,Fischbach,47.44417,15.64389,1034.4,2004-11-09 12:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,25,1996-01-01 00:00:00+00:00,,nein
13605,11390,Hartberg,47.28056,15.97861,329.6,1994-10-24 13:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13606,11398,Rohrbach an der Lafnitz/Eichberg,47.4,15.93694,692.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13640,8989042,Kroisegg,47.378613,16.042223,444.0,2016-06-07 00:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,nein
13702,11197,Bernstein,47.40833,16.26139,630.8,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,13,2008-01-01 00:00:00+00:00,,nein
13706,11193,Bad Tatzmannsdorf,47.33797,16.22497,347.2,2004-09-17 09:50:00+00:00,2024-01-24 14:00:00+00:00,Burgenland,True,False,,140,2004-09-17 00:00:00+00:00,,nein
13707,11193,Bad Tatzmannsdorf,47.328056,16.228056,332.0,2024-01-24 14:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
13805,11397,Hirschenstein,47.345276,16.379168,858.9,2006-01-01 00:00:00+00:00,2014-09-18 00:00:00+00:00,Burgenland,True,True,,,,,nein
13811,11396,Rechnitz,47.30139,16.45417,307.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,180,2006-12-01 00:00:00+00:00,,nein
13906,11393,Lutzmannsburg,47.46417,16.66056,201.0,1995-10-03 09:30:00+00:00,2000-05-31 23:50:00+00:00,Burgenland,True,False,,58,1995-11-01 00:00:00+00:00,2000-05-31 23:59:59+00:00,nein
13907,11393,Lutzmannsburg,47.46528,16.64556,200.8,2000-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,58,2000-06-01 00:00:00+00:00,,nein
14103,11099,Bludenz,47.14778,9.82944,571.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,181,2015-09-16 00:00:00+00:00,,nein
14104,11102,Bludenz,47.154167,9.823611,564.8,2006-01-01 00:00:00+00:00,2015-09-11 00:00:00+00:00,Vorarlberg,True,True,,181,2007-08-01 00:00:00+00:00,2015-09-09 13:00:00+00:00,nein
14115,11304,Brand,47.10306,9.73833,1029.0,2001-06-01 00:40:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,117,2001-06-01 00:00:00+00:00,,nein
14302,11311,St. Anton am Arlberg,47.13139,10.26667,1304.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,119,2008-01-01 00:00:00+00:00,,nein
14305,11110,Galzig,47.12972,10.23028,2079.0,1994-02-09 11:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
14308,11124,Valluga,47.1575,10.21278,2805.0,2016-12-14 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
14311,11307,Langen am Arlberg,47.13167,10.12333,1221.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
14403,11112,Landeck,47.14025,10.56364,795.6,1993-12-23 09:50:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,50,1993-07-01 00:00:00+00:00,,nein
14513,11115,Imst,47.23694,10.74222,773.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,38,2008-01-01 00:00:00+00:00,,nein
14521,11313,Prutz,47.06861,10.66472,871.0,2004-11-30 17:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,138,2004-12-01 00:00:00+00:00,,nein
